can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"ABLEIDINGER, PHILL ALEXANDER",P,US,DEM,OPEN,,,,,,,,,,,,,,,,
"ABRAHAM, RALPH LEE DR. JR.",H,LA,REP,INCUMBENT,258275,13925,272200,,285745.86,557945.86,576243.18,262567.99,5200,1400,294167.99,39951.13,322026.32,552745.86,262567.99,Y
"ABRAMS, MARCIA KAREN DR PHD",S,NC,REP,CHALLENGER,,,,,,13300,13300,13300,,,13300,,,,,
"ACCAVITTI, FRANK MR. JR",H,MI,DEM,OPEN,6100,8640.82,14740.82,,15750,30490.82,30490.82,19312.7,,100,19412.7,,11078.12,30490.82,19312.7,
"ACHADJIAN, KHATCHIK",H,CA,REP,OPEN,721119.79,64188.53,785308.32,,43619,828927.32,893210.3,824268.28,40405.15,,893200.3,,,788522.17,800985.3,
"ADAMS, ALMA SHEALEY",H,NC,DEM,INCUMBENT,225173.68,67658.2,292831.88,696.6,598293.93,891822.41,893842.21,780095.54,2110,2410,799615.54,23091.45,117318.12,889712.41,778075.76,Y
"ADAMS, BOYCE",H,MS,REP,OPEN,126171.5,6059.5,132231,,9000,141231,526765.41,508326.03,,,510200.03,,16565.38,141231,508199.62,
"ADAMS, DAVID ANDREW",H,FL,REP,CHALLENGER,,,,,,,,,,,,,,,,
"ADAMS, DESMUND DOUGLAS",H,IA,DEM,CHALLENGER,59171.31,16995.77,76167.08,,2500,78667.08,78803.88,77843.99,250,160,78253.99,,549.89,78417.08,77707.19,
"ADAMS, EDDIE JR",H,FL,REP,CHALLENGER,250,1643.77,1893.77,,,1893.77,1893.77,1659.26,,,1659.26,,234.51,1893.77,1659.26,
"ADAMS, JACK LYNN",P,US,REP,OPEN,,,,,,,,,,,,,,,,
"ADAMS, SANDY",H,FL,REP,CHALLENGER,50650,8301,58951,,35748.35,94699.35,180743.11,79357.09,1300,,266700.85,93976.24,8018.5,93399.35,79357.09,
"ADAMS, SCOTT MICHAEL MR.",H,CA,IND,CHALLENGER,,,,,,,,6940,,,6940,,-6940,,6940,
"ADCOCK, SAM",H,MS,REP,OPEN,133873.96,5358,139231.96,,17000,156231.96,316231.96,300610.06,4350,,316231.96,,,151881.96,300610.06,
"ADERHOLT, ROBERT BROWN",H,AL,REP,INCUMBENT,419557.21,33699.44,453256.65,,898158.73,1351415.38,1354278.49,1317291.07,5751,,1323042.07,418937.87,450174.29,1345664.38,1315647.12,Y
"AGRA, JOHN",H,AZ,REP,CHALLENGER,106351,1845,108196,,,108196,108766,61001.24,35700,26.27,96727.51,10000,22038.49,72496,61001.24,
"AGUILAR, PETE",H,CA,DEM,INCUMBENT,1249574.23,461671.96,1711246.19,6165.12,1102564.02,2819975.33,2837898.25,1570297.13,35565.23,64855.1,1695717.46,8139.12,1150319.91,2784410.1,1553474.21,Y
"ALARCON, RICHARD ANTHONY MR.",H,CA,DEM,CHALLENGER,51090,5991.05,57081.05,,10000,69834.33,70834.33,69538.7,,155.23,70693.93,,140.4,69834.33,69538.7,
"ALBARRAN, CHARLENE MCARTHUR",H,UT,DEM,CHALLENGER,68828,3395,72223,,,562223,563693.69,548462.32,70,,555400.34,,8328.02,562153,548462.32,
"ALBERTSON, ED",H,OH,DEM,CHALLENGER,5210.36,12932.34,18142.7,45,1678.7,27043.95,28043.95,18413.17,,,18413.17,,9630.78,27043.95,18413.17,
"ALBERTSON, STEWART",S,CA,DEM,OPEN,15300,3649,18949,,,20949,30949,15221,5700,27,30949,,,15250,15221,
"ALLAN, SETH",H,OR,REP,CHALLENGER,11474.88,450,11924.88,,,18610.29,19110.29,15553.2,4107.09,,19660.29,250,,14503.2,15053.2,
"ALLEN, JASON EDWARD",H,MI,REP,OPEN,323652.45,20196,343848.45,,27500,372360.27,429674.61,419896.44,9400,130,429426.44,,248.17,362960.27,419896.44,
"ALLEN, RICHARD W",H,GA,REP,INCUMBENT,554305,46969.5,601274.5,,473675,1074949.5,1094022.76,908518.98,,70000,978518.98,60109.57,175613.35,1074949.5,907156.21,Y
"ALLEN-REESE, POGO MOCHELLO",P,US,REP,OPEN,,,,,,19673.7,19673.7,19673,,,19673,,,19673,,
"ALLIEGRO, MARK C",H,MA,REP,CHALLENGER,126336.55,67107.91,193444.46,2522.34,5750,218720.8,260720.8,205584.17,25,,205609.17,-547.49,54564.14,218695.8,205584.17,
"ALLVORD, TERRY",H,CA,REP,CHALLENGER,5506.36,1495,7001.36,,,13081.36,19253.77,13108.56,70.21,,19253.77,,,13011.15,13011.15,
"ALM, VANCE STEVEN",H,NV,DEM,CHALLENGER,8611.86,1066,9677.86,,,10791.45,10791.45,7219.69,,3554.15,10773.84,,17.61,10791.45,7219.69,
"AMADOR, ANTONIO C",H,CA,REP,CHALLENGER,30575,9595,40170,,99,48462.25,48462.25,30903.58,,,34903.58,1671.84,15230.51,48462.25,30903.58,
"AMASH, JUSTIN",H,MI,REP,INCUMBENT,526410,72194.39,598604.39,500,33700,632804.39,646623.63,640619.31,2000,53000,695619.31,328827.01,279831.33,630804.39,628800.07,Y
"AMATA, AUMUA",H,AS,REP,INCUMBENT,39925,2175,42100,22000,7500,71600,71600,49858.67,,,49858.67,0.8,21124.71,71600,49858.67,
"AMODEI, MARK EUGENE",H,NV,REP,INCUMBENT,387907.94,15075,402982.94,,381534.08,784517.02,792349.56,708853.65,7759.37,,775713.02,195378.4,212014.94,776757.65,701021.11,Y
"ANDERS, SAMUEL",H,GA,REP,OPEN,400,370,770,,,1182.25,6859.97,6547.34,,,6547.34,,312.63,1182.25,6469.62,
"ANDERSON, DAVID M",H,MD,DEM,OPEN,40177.8,10568,50745.8,,3000,72188.22,132276.22,129216.58,2000,25,132276.22,,,70188.22,129216.58,
"ANDERSON, PHILLIP NORMAN",S,WI,LIB,CHALLENGER,19301,,19301,,,20176,10948,5608,,,5181,295,919,6256,5181,
"ANDREWS, CHARLES PERRY III",P,US,REP,OPEN,,,,,,6,,,1000,,1000,1000,,,,
"ANGELLE, SCOTT MR.",H,LA,REP,CHALLENGER,944165.91,14216,958381.91,,142100,1100481.91,1350847.67,1001519.43,8415,,1009934.43,,340913.24,1092066.91,1001153.67,Y
"ANGLE, SHARRON E",S,NV,REP,OPEN,135161,10410,145572,,,215572,215572,208825,,,208825,,6745,215572,208825,
"ANSEL, JEFFREY",H,TX,IND,CHALLENGER,4567,200,4767,,,4767,4767,,,,2320.79,2339.22,4785.43,4767,2320.79,
"ANTHONY, MALCOLM",H,FL,REP,CHALLENGER,14500,3488.96,17988.96,,,17988.96,18588.96,13261.15,6191.64,400,20852.79,,-2263.83,11797.32,13261.15,
"APPLEGATE, DOUGLAS LOREN",H,CA,DEM,CHALLENGER,609209.37,529401.69,1138611.06,,122350,1260961.06,1261991.17,959079.59,,15969.16,975048.75,,286942.42,1260961.06,959079.59,
"ARCHER, STEVEN",H,RI,DEM,CHALLENGER,250,200,450,,,450,13318.06,12562.39,,95.1,12657.49,,660.57,450,12562.39,
"ARMENDARIZ, VICTOR",H,GA,REP,CHALLENGER,700,,,,,6920,6920,5448,,,5448,,1469,6920,5448,
"ARMSTRONG-STONER, DEREK JAMES",H,AZ,DEM,CHALLENGER,1265.98,735,2000.98,2500,,6600.98,16350.98,16106.64,,,16350.98,,,6600.98,16106.64,
"ARNESS, MARK KENNETH",H,MD,REP,CHALLENGER,3406,6195,9601,,512,22319.79,49219.79,41632.3,500,,42132.3,,7087.49,21819.79,41632.3,
"ARRINGTON, JODEY COOK",H,TX,REP,OPEN,1084886.28,50481,1135367.28,,345510.44,1480877.72,1507510.35,1158398.9,4071.45,23200,1210670.35,,296840,1476806.27,1156766.27,Y
"ASH, JAMES",H,CA,REP,CHALLENGER,13970,5598,19568,,,21778,35278,35117.51,,,35278,,,21778,35117.51,
"ASHFORD, BRAD",H,NE,DEM,INCUMBENT,942094.26,167198.03,1109292.29,3465.64,1147377.31,2260135.24,2264843.54,2148146.72,4234.48,6150,2158531.2,15489.79,121802.13,2255900.76,2143438.42,
"ASHOOH, RICHARD E",H,NH,REP,CHALLENGER,297000,12575.22,309575.22,,7500,317075.22,318115.22,268804.13,48900,1269.04,318973.17,1301.86,443.91,268175.22,267764.13,
"ASHWORTH, MATTHEW",H,OH,REP,CHALLENGER,,,,,,,,,,,,,,,,
"ASSINI, MARK W",H,NY,REP,CHALLENGER,182225.42,27183.99,209409.41,,,209409.41,209409.41,193415.43,,,193415.43,830.11,16824.09,209409.41,193415.43,
"ATHANASOPOULOS, GEORGE MR.",H,CO,REP,CHALLENGER,28810,17171,45981,3200,1175,50356,50356,44259.51,1000,,45259.51,,5096.49,49356,44259.51,
"ATKINSON, JACQUIE",H,CA,REP,CHALLENGER,178224,15612,193836,,,196307.97,196307.97,167707.97,28600,,196307.97,,,167707.97,167707.97,
"ATKINSON, THOMAS M.",H,OK,REP,CHALLENGER,320256.77,4239,324495.77,,8100,332595.77,782595.77,776343.73,,,776343.73,,6252.04,332595.77,776343.73,
"AYOTTE, KELLY A",S,NH,REP,INCUMBENT,9033351,1033006,10066360,50800,2893531,13010691,13980279,14768058,186699,,14954757,2039165,2085484,12823992,14754224,
"BABAUTA, ANTHONY M",H,GU,DEM,CHALLENGER,22303,22624,44927,,,44927,45890,44860,,,44860,,1029,44927,43897,
"BABEU, PAUL RAYMOND",H,AZ,REP,OPEN,682327.51,316047.3,998374.81,2200,168750,1169324.81,1175304.36,1092674.74,6295,13000,1111969.74,,63334.62,1163029.81,1089624.74,
"BABIN, BRIAN",H,TX,REP,INCUMBENT,495655.62,39359,535014.62,,516845,1051859.62,1062971.4,545136.89,400,39841.84,652378.73,146559.12,557151.79,1051459.62,536340.95,Y
"BABINEC, MARTIN",H,NY,IND,OPEN,15350,2248.57,17598.57,,,17598.57,2770918.95,2466591.19,110,,2466701.19,,304217.76,17488.57,2463270.81,
"BACA, JOE",H,CA,REP,CHALLENGER,26450,2898,29348,,500,29848,29848,28617.74,,,28617.74,,1230.26,29848,28617.74,
"BACALLAO, MARY KAY",S,GA,REP,CHALLENGER,1565,1177,2742,,,2742,10201,9293,,,10201,,,2742,1737,
"BACON, DONALD",H,NE,REP,CHALLENGER,759127.55,135677.54,894805.09,10000,347000,1264140.94,1264140.94,1032298.34,2325,,1034623.34,,229517.55,1261815.94,1032298.34,Y
"BAGWELL, THOMAS A",H,MI,LIB,CHALLENGER,500,105,605,,184.06,889.06,889.06,488.65,,,568.65,238,149.06,889.06,488.65,
"BAILEY, GEORGE BRENT JR",P,US,REP,OPEN,,,,,,,,,,,,,,,,
"BAKER, BRUCE",H,CO,REP,CHALLENGER,,50,50,,,1050,1050,888.01,,161.99,1050,,-161.99,1050,888.01,
"BAKER, COLLIN JAMES",H,TX,REP,CHALLENGER,,,,,,,,56,,,56,,-56,,56,
"BAKER, TERRY",H,MD,REP,CHALLENGER,12414,16137.5,28551.5,,,39831.5,39831.5,39823.88,,,39823.88,,7.62,39831.5,39823.88,
"BAKER, TERRY HUNTER JR.",H,TN,REP,OPEN,6000,1828.99,7828.99,,,10328.99,10328.99,10120.63,,208.36,10328.99,,,10328.99,10120.63,
"BALCHUNIS, MARY ELLEN",H,PA,DEM,CHALLENGER,99633.79,42498.06,142131.85,,37200,182209.92,182209.92,128619.36,,3694.28,132313.64,202.19,50098.47,182209.92,128619.36,
"BALDACCI, JOSEPH M.",H,ME,DEM,CHALLENGER,136510.13,20817.42,157327.55,,2000,165991.31,197991.31,159589.52,645.5,50,190685.02,,6.29,165345.81,159589.52,
"BANGSTAD, KIRK",H,WI,DEM,CHALLENGER,82685,18384.37,101069.37,,,107069.37,147069.37,89573.22,15906,,145479.22,,1590.15,91163.37,89573.22,
"BANKS, JAMES E",H,IN,REP,OPEN,825845.06,491905.12,1317750.18,,275785,1594659.81,1594659.81,1268380.07,13534.76,93500,1375414.83,,219244.98,1581125.05,1268380.07,Y
"BARAJAS, RAMON MISTER III",H,CA,REP,CHALLENGER,,,,,,,,,,,,,,,,
"BARICEVIC, CHARLES JOHN",H,IL,DEM,CHALLENGER,697238.31,83422.58,780660.89,5000,160290,950960.89,950960.89,837588.33,7865,7182.86,852636.19,,98324.7,943095.89,837588.33,
"BARKLEY, MICHAEL JAMES",H,CA,DEM,CHALLENGER,,82.6,82.6,2.23,,84.83,45921.6,13335.58,,,13335.58,580.82,32822.67,84.83,13249.73,
"BARKSDALE, JAMES FREEMAN",S,GA,DEM,CHALLENGER,236097,266000,502097,,8300,511797,4912063,4771207,1250,,4772457,1085080,601077,510547,4770944,
"BARLETTA, LOU",H,PA,REP,INCUMBENT,380628.47,135156.98,515785.45,,647833.9,1163619.35,1205316.17,666450.27,2749.99,26035,753135.26,87434.2,539585.4,1160869.36,665475.15,Y
"BARNEY, SEAN",H,DE,DEM,OPEN,618986.3,114488.8,733475.1,,27890,767226.65,771783.57,739641.89,28200,1550,771391.89,,1091.68,739026.65,738637.31,
"BARR, GARLAND ANDY",H,KY,REP,INCUMBENT,1168846.28,79044.06,1247890.34,200,1069673.9,2317764.24,2328825.18,1804776.32,16750,214450,2035976.32,488765.33,781614.19,2301014.24,1801575.26,Y
"BARRAGAN, NANETTE",H,CA,DEM,OPEN,941707.7,334845,1276552.7,,165725.66,1467446.28,1467746.29,1213945.71,11379.73,300,1225625.44,,242120.85,1456066.55,1213945.71,Y
